Household_ID,State,City,City_Type,Household_Size,Age_of_Household_Head,Education_Level,Employment_Status,Monthly_Income_INR,Rent_EMI_INR,Food_Expense_INR,Utilities_INR,Education_Expense_INR,Healthcare_Expense_INR,Transport_Expense_INR,Shopping_Expense_INR,Entertainment_Expense_INR,Other_Expenses_INR,Loan_Amount_INR,Monthly_Loan_Payment_INR,Savings_INR,Investment_INR,Financial_Goal,Emergency_Fund_Months,Internet_Access,Vehicle_Ownership,Financial_Stress_Level,Financial_Health_Score,Total_Expenses_INR,Savings_Rate,Loan_Burden_Ratio,Expense_Ratio,Income_Per_Person,Expense_Per_Person,Overspending_Flag,Low_Savings_Flag,High_Loan_Burden_Flag,High_Stress_Flag,Financial_Vulnerability_Score,Financial_Vulnerability_Category
HH00001,Gujarat,Ahmedabad,Semi-Urban,6,52,Postgraduate,Government,56100.0,16190,11220.0,4620,4160,3960.0,4450,2550,2510,1120,310000,6030,-550.0,0,Home,0.0,Yes,Unknown,High,38,50780.0,-0.9803921568627451,10.748663101604278,90.51693404634581,9350.0,8463.333333333334,0,1,0,1,2,High Risk
HH00002,Maharashtra,Nagpur,Urban,4,42,Secondary,Government,48500.0,14810,20900.0,7780,5810,3340.0,9200,6910,3680,3190,0,0,19790.0,9220,Retirement,18.0,No,Car,Very Low,86,75620.0,40.8041237113402,0.0,155.91752577319588,12125.0,18905.0,1,0,0,0,1,Moderate Risk
HH00003,Rajasthan,Jaipur,Rural,3,60,Graduate,Salaried,74200.0,7280,11430.0,4160,8190,5470.0,3810,3750,1300,2630,418000,8320,11820.0,3070,Emergency_Fund,12.4,Yes,Two_Wheeler_and_Car,Low,74,48020.0,15.929919137466308,11.212938005390836,64.71698113207547,24733.333333333332,16006.666666666666,0,0,0,0,0,Low Risk
HH00004,West Bengal,Siliguri,Semi-Urban,5,39,Diploma,Salaried,32100.0,2210,5580.0,3080,2900,930.0,1710,1440,1330,630,334000,5300,3460.0,2720,Vehicle,11.6,Yes,Two_Wheeler,Low,71,19810.0,10.778816199376948,16.510903426791277,61.71339563862929,6420.0,3962.0,0,0,0,0,0,Low Risk
HH00005,Andhra Pradesh,Tirupati,Urban,1,29,Secondary,Unemployed,23400.0,3770,4070.0,940,2420,910.0,1880,1260,600,960,0,0,4680.0,2070,Vehicle,18.0,Yes,Two_Wheeler,Very Low,85,16810.0,20.0,0.0,71.83760683760684,23400.0,16810.0,0,0,0,0,0,Low Risk
HH00006,Odisha,Bhubaneswar,Urban,4,52,Below Secondary,Salaried,28200.0,1650,4340.0,3430,1590,2100.0,2680,1770,1140,1340,302000,6700,880.0,310,Business,6.7,Yes,Two_Wheeler,Medium,45,20040.0,3.120567375886525,23.75886524822695,71.06382978723404,7050.0,5010.0,0,1,1,0,2,High Risk
HH00007,Gujarat,Surat,Rural,4,48,Secondary,Salaried,34000.0,3210,5900.0,4230,1440,1190.0,2930,2380,750,1510,0,0,5090.0,2410,Home,18.0,Yes,Two_Wheeler,Very Low,84,23540.0,14.97058823529412,0.0,69.23529411764706,8500.0,5885.0,0,0,0,0,0,Low Risk
HH00008,Gujarat,Ahmedabad,Rural,1,55,Diploma,Unemployed,15000.0,2180,3470.0,1700,80,1700.0,1380,570,370,250,52000,1000,1500.0,460,Emergency_Fund,3.4,Yes,Two_Wheeler,Medium,60,11700.0,10.0,6.666666666666667,78.0,15000.0,11700.0,0,0,0,0,0,Low Risk
HH00009,Telangana,Nizamabad,Urban,3,47,Graduate,Government,198900.0,14870,34030.0,11130,11210,9790.0,11270,6950,2860,3170,1767000,35290,28060.0,14430,Vehicle,18.0,Yes,Two_Wheeler,Low,73,105280.0,14.107591754650578,17.74258421317245,52.93112116641529,66300.0,35093.333333333336,0,0,0,0,0,Low Risk
HH00010,Maharashtra,Mumbai,Urban,2,65,Graduate,Self-Employed,80800.0,5120,12780.0,4370,2280,4970.0,7640,6680,1080,3310,777000,12690,15310.0,6020,Home,18.0,Yes,Unknown,Low,74,48230.0,18.948019801980198,15.705445544554456,59.690594059405946,40400.0,24115.0,0,0,0,0,0,Low Risk
HH00011,Tamil Nadu,Coimbatore,Urban,5,42,Graduate,Daily Wage,18400.0,2040,2500.0,2210,1100,890.0,1190,910,280,460,0,0,4290.0,2100,Business,18.0,Yes,Unknown,Very Low,92,11580.0,23.315217391304348,0.0,62.93478260869565,3680.0,2316.0,0,0,0,0,0,Low Risk
HH00012,Uttar Pradesh,Lucknow,Rural,5,53,Secondary,Salaried,50600.0,6720,10490.0,4100,5500,1790.0,3890,2760,2040,790,0,0,6990.0,1570,Home,6.4,Yes,Two_Wheeler,Low,75,38080.0,13.81422924901186,0.0,75.25691699604742,10120.0,7616.0,0,0,0,0,0,Low Risk
HH00013,Kerala,Thiruvananthapuram,Rural,2,39,Graduate,Self-Employed,85400.0,8850,12560.0,5460,940,2710.0,7980,7180,1630,2870,0,0,28090.0,15010,Emergency_Fund,18.0,Yes,Two_Wheeler,Very Low,99,50180.0,32.89227166276347,0.0,58.758782201405154,42700.0,25090.0,0,0,0,0,0,Low Risk
