Household_ID,State,City,City_Type,Household_Size,Age_of_Household_Head,Education_Level,Employment_Status,Monthly_Income_INR,Rent_EMI_INR,Food_Expense_INR,Utilities_INR,Education_Expense_INR,Healthcare_Expense_INR,Transport_Expense_INR,Shopping_Expense_INR,Entertainment_Expense_INR,Other_Expenses_INR,Loan_Amount_INR,Monthly_Loan_Payment_INR,Savings_INR,Investment_INR,Financial_Goal,Emergency_Fund_Months,Internet_Access,Vehicle_Ownership,Financial_Stress_Level,Financial_Health_Score
HH00001,Gujarat,Ahmedabad,Semi-Urban,6,52,Postgraduate,Government,56100,16190,11220,4620,4160,3960,4450,2550,2510,1120,310000,6030,-550,0,Home,0,Yes,None,High,38
HH00002,Maharashtra,Nagpur,Urban,4,42,Secondary,Government,,14810,20900,7780,5810,3340,9200,6910,3680,3190,0,0,19790,9220,Retirement,18,No,Car,Very Low,86
HH00003,Rajasthan,Jaipur,Rural,3,60,Graduate,Salaried,74200,7280,11430,4160,8190,5470,3810,3750,1300,2630,418000,8320,11820,3070,Emergency_Fund,12.4,Yes,Two_Wheeler_and_Car,Low,74
HH00004,West Bengal,Siliguri,Semi-Urban,5,39,Diploma,Salaried,32100,2210,5580,3080,2900,930,1710,1440,1330,630,334000,5300,,2720,Vehicle,11.6,Yes,Two_Wheeler,Low,71
HH00005,Andhra Pradesh,Tirupati,Urban,1,29,Secondary,Unemployed,23400,3770,4070,940,2420,910,1880,1260,600,960,0,0,4680,2070,Vehicle,18,Yes,Two_Wheeler,Very Low,85
HH00006,Odisha,Bhubaneswar,Urban,4,52,Below Secondary,Salaried,28200,1650,4340,3430,1590,2100,2680,1770,1140,1340,302000,6700,880,310,Business,6.7,Yes,Two_Wheeler,Medium,45
HH00007,Gujarat,Surat,Rural,4,48,Secondary,Salaried,34000,3210,5900,4230,1440,1190,2930,2380,750,1510,0,0,5090,2410,Home,18,Yes,Two_Wheeler,Very Low,84
HH00008,Gujarat,Ahmedabad,Rural,1,55,Diploma,Unemployed,15000,2180,3470,1700,80,1700,1380,570,370,250,52000,1000,1500,460,Emergency_Fund,3.4,Yes,Two_Wheeler,Medium,60
HH00009,Telangana,Nizamabad,Urban,3,47,Graduate,Government,198900,14870,34030,11130,11210,9790,11270,6950,2860,3170,1767000,35290,28060,14430,Vehicle,18,Yes,Two_Wheeler,Low,73
HH00010,Maharashtra,Mumbai,Urban,2,65,Graduate,Self-Employed,80800,5120,12780,4370,2280,4970,7640,6680,1080,3310,777000,12690,15310,6020,Home,18,Yes,None,Low,74
